"Geography","CancerDeaths","medIncome","popEst2015","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","PctUnemployed16_Over","BirthRate"
"Yuma County, Arizona",126.8,39700,204275,22.6,33.8,2.77,55.7,13.1,6.284513403
"Brewster County, Texas",160.4,40179,9145,13.8,42.1,2.27,45.9,4.9,1.812688822
"Gage County, Nebraska",165.2,50861,21900,11,44.6,2.3,57.8,4.3,6.416861827
"Penobscot County, Maine",187.5,42728,152692,18,41.3,2.36,48,7.8,4.133114215
"Churchill County, Nevada",211,46840,24200,13.2,38.9,2.51,51.6,11.9,7.724034496
"Providence County, Rhode Island",173.6,47278,633473,18.3,37.1,2.53,40.8,9.5,4.931882987
"Pike County, Illinois",176,39005,15989,15.2,42.6,2.34,56.2,5.6,5.732087227
"Essex County, Massachusetts",161.5,70074,776043,10.7,40.6,2.59,48.6,7.7,4.825363357
"Boone County, Kentucky",175.7,66939,127712,8,36.2,2.77,58.2,5.6,5.289605924
"Smyth County, Virginia",202.4,37831,31470,19.7,44.3,2.43,51.7,6.4,6.188734455
"Boyd County, Nebraska",135.2,39964,2006,13.9,50.8,2.15,64.7,1.1,9.17721519
"Hood County, Texas",167.2,55472,55423,12.4,46.9,2.51,58.3,5,6.844366335
"Pocahontas County, West Virginia",176.8,34341,8607,17.6,48.4,2.24,56.4,5.7,4.256631709
"Murray County, Georgia",204,40976,39565,18.7,37.2,2.75,54.4,11.1,3.893548721
"Cheyenne County, Kansas",150,41797,2679,11.5,49.6,2.09,61.8,1.9,10.77586207
"Brunswick County, North Carolina",169.2,47387,122765,15.7,50,2.34,57.4,11.4,6.292374849
"Keith County, Nebraska",161.3,45192,8063,12,49.1,2.06,59.5,2.8,2.702702703
"Fayette County, Indiana",222.5,40122,23434,16.4,42.2,2.5,49,12.1,2.64006449
"St. Francois County, Missouri",216.8,40376,66520,20.3,38.9,2.33,48.2,8.3,4.612961296
"Grand Traverse County, Michigan",151.8,55592,91636,9.7,41.7,2.46,52,6.6,5.649660209
"Lincoln County, Montana",174.6,36734,19052,19.2,50.8,2.21,55.9,13.1,4.703476483
"Clark County, South Dakota",138.4,48024,3659,13.8,44,2.21,55.6,2.8,6.386292835
"Brunswick County, Virginia",165.3,37344,16698,21.9,41.7,2.51,38.6,10.5,4.689366786
"Blaine County, Idaho",94.4,63490,21592,10.6,43,2.35,59.8,4.1,7.863131656
"Clark County, Washington",178.2,61747,459495,9.9,37.4,2.71,52.7,8.6,5.742215991
"Rabun County, Georgia",169,38449,16281,20.6,47.8,2.34,55.1,7.3,5.049875312
"Houghton County, Michigan",155.4,39126,36380,18.7,32.8,2.51,44.3,7.2,5.373953975
"Northampton County, Pennsylvania",172.7,61510,300813,10,41.8,2.56,51.4,7.3,4.239802406
"Crane County, Texas",150.1,61098,5048,9.5,33.5,3.01,55.4,5.2,11.89138577
"Douglas County, Oregon",189.2,41504,107685,19.9,46.9,2.41,52.2,12.2,5.54304604
"Brazos County, Texas",151.8,41641,215037,26.4,25.2,2.58,37.4,6.4,4.690848607
"Morrill County, Nebraska",131.6,46961,4854,14,41.3,2.38,53.6,4,5.760869565
"Harrison County, Iowa",178.1,52824,14265,11,43.8,2.37,55.9,3.6,4.095334005
"Martin County, Indiana",194.4,48381,10226,13.5,42.5,2.42,50.3,6.1,6.417359187
"Crawford County, Arkansas",195.3,43466,61703,16.6,38.8,2.58,58,7.9,5.975420257
"Lincoln County, Nevada",127.4,45629,5036,15.1,37.4,2.55,56.8,11.8,4.519774011
"Falls County, Texas",151.9,35491,17142,23.7,39.8,2.86,42,7.2,3.950011158
"Bennett County, South Dakota",170,34326,3423,34.8,29.4,3.24,41,14.7,5.882352941
"Taylor County, Georgia",161.2,32815,8330,25.4,42.6,2.39,43.8,20.6,3.978779841
"Wise County, Virginia",223.4,38528,39718,21.9,39.8,2.46,47.5,11,3.651138835
"Judith Basin County, Montana",179.5,43272,1926,14.6,51.4,2.18,63.3,3.9,2.089552239
"Howard County, Nebraska",155.2,51040,6409,11.5,43.3,2.47,58.8,4,10.27070064
"Grant County, Arkansas",190.5,46067,18102,13.3,39.6,2.61,57.9,9.4,5.539429124
"Ware County, Georgia",180.1,34288,35370,28.8,37.9,2.39,48.2,7.2,7.919234299
"Ford County, Kansas",153.9,51144,34536,15,30.9,3.04,54.8,6.4,7.80919168
"Garfield County, Washington",115,46404,2219,14.2,49.8,2.3,61.9,7.4,13.55498721
"Moore County, Tennessee",137.3,50358,6322,12.5,45.5,2.55,57.4,6.5,0.702028081
"Natrona County, Wyoming",168.2,57427,82178,10.4,36,2.44,50.6,5.1,5.340540541
"Sumner County, Tennessee",162.5,58291,175989,11.3,39.4,2.7,55.6,6,5.056955471
"McKinley County, New Mexico",137.7,29497,76708,35.8,30.8,3.97,33.5,15.5,7.322096363
"Taliaferro County, Georgia",234.9,28716,1639,32.3,47.9,2.42,40,12.1,0.56980057
"St. Bernard Parish, Louisiana",233.1,45615,45408,17.9,33,2.92,43,12.2,5.677721702
"Hall County, Georgia",153.5,52238,193535,16.8,35.6,3,52.2,7.5,6.393153226
"Bibb County, Alabama",212.4,39546,22583,18.1,38.9,2.95,49,8.3,4.179860671
"Pasco County, Florida",176.4,45219,497909,14.7,44.4,2.53,51.1,9.4,4.73813501
"Clear Creek County, Colorado",139.4,69115,9303,8.5,48,2.13,57.4,5.4,3.600654664
"Spencer County, Indiana",174.6,54468,20715,9.3,42.7,2.58,60.4,5.6,4.881386861
"Chowan County, North Carolina",189,38887,14394,23.2,44.5,2.41,48.4,12.7,7.658119658
"Long County, Georgia",180.9,43193,17731,21.9,31.2,3.27,47.6,15.6,5.82010582
"Glenn County, California",165.2,43755,28017,17.1,37.2,2.92,51.4,12.6,6.12741125
"Kleberg County, Texas",164.1,40884,31857,22.8,28,2.76,40.2,11.7,5.244100387
"Elbert County, Georgia",176.8,35351,19364,21.4,41.3,2.49,48.1,10.8,7.219802888
"Fayette County, Tennessee",174.7,56573,39165,14.7,43.7,2.58,56.4,8.5,5.28264626
"Cannon County, Tennessee",210.1,41068,13840,16.4,41.9,2.53,51.9,12.9,6.944
"Bastrop County, Texas",181.8,52886,80527,14.7,38.7,2.94,52.8,9.8,4.583083383
"Decatur County, Tennessee",212.3,37417,11660,19.9,45.3,2.3,56.1,10.1,4.422498927
"Ottawa County, Ohio",185.3,50345,40877,10.1,47.3,2.33,57.1,5.5,4.504504505
"Brown County, Ohio",213.3,46484,43839,15,40.8,2.62,54.1,9.9,8.672957238
"Schoolcraft County, Michigan",213.7,39539,8173,17.6,50,2.38,52.1,15.6,4.633204633
"Greene County, Indiana",197.4,41077,32441,15.5,42.3,2.54,54.4,7,3.957556639
"Caldwell County, Kentucky",224.7,42640,12681,18.2,42.6,2.39,55.2,8.7,7.912885662
"Zavala County, Texas",126.3,26336,12235,31,30.5,3.26,40.2,12.2,4.962779156
"Spink County, South Dakota",153.9,48125,6524,11.7,43.8,2.41,54,1.1,7.28
"Cumberland County, Illinois",201.4,49567,10898,12.2,41.6,2.51,56.1,7.4,6.796116505
"Montgomery County, Virginia",153.3,43484,97653,24.8,27.5,2.48,39.1,5.6,3.135414054
"Franklin County, Florida",216.2,36788,11761,25.3,42.1,2.24,49.8,9.4,4.934210526
"Effingham County, Georgia",201.7,61195,57106,11,36.1,2.95,55.1,6,5.321944809
"Bay County, Florida",191.5,44800,181635,15.6,39.8,2.54,49,8.6,5.729334092
"Somerset County, New Jersey",153.3,100194,333654,5,40.8,2.81,56.6,6,4.842990108
"El Paso County, Colorado",148.5,59286,674471,12.2,33.6,2.6,53.8,8.4,6.187072813
"Harris County, Georgia",139.4,66249,33381,9.5,43.1,2.79,56.7,8,5.808219178
"Millard County, Utah",131.6,52623,12645,12.9,34.9,2.98,62.7,4.3,8.884297521
"Monroe County, Mississippi",174.3,36810,35827,20.1,40.6,2.57,49.8,10.9,5.236239649
"Kidder County, North Dakota",104.8,46923,2417,14.1,47,2.24,72.3,0.9,6.976744186
"Norman County, Minnesota",169.9,51597,6678,13.4,45.4,2.4,56.2,5.1,6.289308176
"Allegan County, Michigan",166.7,54232,114625,11.4,40,2.67,58.1,6.1,5.293976097
"Washington County, Iowa",160.4,56243,22247,10.2,41.5,2.43,58.3,4.2,9.453503746
"Kingfisher County, Oklahoma",174.7,59525,15584,10,38.6,2.64,60.6,3.6,5.947846469
"Kent County, Maryland",180,53288,19787,13.8,46.2,2.39,47,7.2,4.528650647
"Lee County, Alabama",192,41256,156993,25.2,30.3,2.54,43.6,7.3,4.40533728
"Columbia County, Florida",203.3,38484,68348,21.7,40.4,2.66,45,14.8,4.905335628
"Rockcastle County, Kentucky",228.1,33789,16942,24.1,41.8,2.51,55.3,11,4.281183932
"Klamath County, Oregon",177.9,39234,66016,21.9,42.5,2.39,51.4,12.4,6.075036075
"Chaffee County, Colorado",140.8,48840,18658,12.4,49.2,2.21,55.5,5.9,4.893475366
"Deschutes County, Oregon",154.3,52387,175268,13.2,41.9,2.49,54.6,9.4,4.744289032
"Lamar County, Texas",187.3,41009,49440,18.6,40.3,2.56,52.9,7.4,5.292201918
"Vernon County, Missouri",194.4,40267,20826,17.5,40.6,2.5,53.3,5.4,5.078698846
"Amelia County, Virginia",216.5,51738,12903,12.9,45.8,2.68,57.5,5,6.59515296
"Genesee County, New York",181.6,52410,58937,12,42.7,2.45,52.8,6.7,6.002939584
"Sheridan County, North Dakota",124.8,44990,1310,16.1,52,2.05,63.2,2,4.95049505
"Knox County, Tennessee",181.6,47199,451324,17.7,37.3,2.39,49,6.5,4.759828048
"Tunica County, Mississippi",236.9,30689,10343,27.9,32.2,2.6,35.3,12.4,6.144623454
"Jim Hogg County, Texas",202.2,36929,5200,22.5,36.7,3.09,48.4,16.5,17.26057906
"Bryan County, Oklahoma",191.7,38187,44884,19.1,37.1,2.58,50.1,8.1,7.559938128
"Glascock County, Georgia",211.1,39643,3065,19.4,40,2.67,54.7,7.1,0.855920114
"Coffee County, Alabama",173.3,46931,51211,16.8,38.8,2.62,51,7.1,4.884815874
"Upton County, Texas",166.7,55918,3651,14.3,31.9,2.75,60.6,4.3,10.47120419
"Roosevelt County, Montana",182.6,37511,11476,23.8,30.4,3.54,38.7,6.8,6.547122602
"Kosciusko County, Indiana",187.2,54068,78620,12,37.9,2.58,58.6,6.5,6.807405735
"Hoke County, North Carolina",191.8,44175,52671,19.5,31.4,2.93,50.7,13.1,7.366934285
"Morgan County, Alabama",184.9,45082,119565,15,39.5,2.55,51.4,9.9,4.808108498
"Douglas County, Georgia",175.3,54581,140733,14.2,35.9,2.87,47.7,10.5,6.214984071
"Franklin County, New York",180.9,45704,50660,18.5,39.8,2.36,45,8.8,5.8605919
"Queen Anne's County, Maryland",173.8,80650,48904,7.5,43.5,2.75,57.4,5.3,5.627462015
"Pendleton County, West Virginia",139.8,38204,7229,16.7,49.1,2.35,55.3,4.9,7.611940299
"Muskogee County, Oklahoma",211.7,41015,69699,22.2,37.8,2.53,48.9,8.2,6.694613026
"Oneida County, New York",173.9,48350,232500,17.7,41.2,0.0243,44,7.4,5.551134489
"Taylor County, Wisconsin",131.8,48683,20455,11.7,43.1,2.32,58.7,5.5,6.550868486
"Union County, South Dakota",166.5,72041,14909,6.3,40.8,2.48,58.9,2.9,7.245912151
"Henry County, Alabama",194.1,39930,17221,17.3,43,2.47,53.1,8.1,7.114728275
"Van Buren County, Tennessee",174.1,34884,5677,20.6,45.8,2.61,51.8,11.2,4.545454545
"Kandiyohi County, Minnesota",147.5,57405,42542,11.5,39.9,2.48,57.7,4.8,5.730234678
"Richland Parish, Louisiana",191.3,36666,20523,24.9,38,2.59,49.5,9.6,3.43803056
"Armstrong County, Texas",213.4,55177,1947,11,45.1,2.63,61.1,1.1,2.949061662
"Fountain County, Indiana",211.7,45168,16591,14.6,42.3,2.4,55.3,8.6,5.674931129
"Boone County, Arkansas",198.2,39779,37222,16.9,41.4,2.45,57.7,8.4,9.035846724
"Lapeer County, Michigan",186.7,51510,88373,11.1,43.3,2.64,57.1,10.5,5.407671348
"Monona County, Iowa",165,43178,8979,14.3,47,2.19,55.3,5.5,4.371921182
"Floyd County, Texas",173.5,36898,5901,23.7,37.3,2.54,57,8,4.490106545
"Summit County, Utah",123.6,92560,39633,6.8,38.2,2.75,63.2,3.2,4.14207772
"St. Landry Parish, Louisiana",217.8,32683,83848,30.1,36.6,2.68,43.1,6.1,6.971510409
"Jasper County, South Carolina",179.1,37715,27824,24.5,36.5,2.85,44.2,11.9,6.543128895
"Butler County, Kansas",175,60123,66741,11.3,37.8,2.63,56.2,5.6,5.706172673
"Cochran County, Texas",187.5,39870,2953,20.7,34.9,2.79,52,8.5,7.357357357
"Griggs County, North Dakota",232.3,51192,2314,9.5,51.8,2.16,65.1,2,7.692307692
"Habersham County, Georgia",180.5,40994,43996,15.3,38.8,2.74,53.7,7.7,6.010723356
"Greer County, Oklahoma",174.7,34872,6070,25.2,41.3,2.3,45,4.4,9.857723577
"Worth County, Iowa",136.5,50286,7569,11,44.8,2.35,56.4,4.7,8.33867864
"Clallam County, Washington",181.3,47185,73486,16.2,50.1,2.27,50.5,9.9,5.956137583
"Pickett County, Tennessee",160,31996,5146,19.2,49.4,2.25,66.7,4.9,8.686210641
"Iron County, Missouri",216.3,33091,10125,22.1,43.1,2.46,50.8,11.4,3.896713615
"Island County, Washington",143.5,59358,80593,10.3,44,2.33,59.1,9,6.113924051
"Vermilion Parish, Louisiana",180.3,45331,59875,18.3,36.7,2.69,48.5,8.5,5.605176173
"Howard County, Indiana",172.2,47433,82556,16.8,41.5,2.37,52.1,9.2,5.977036752
"Cooper County, Missouri",179.9,42166,17642,14,38.6,2.47,50.6,5.7,4.315304948
"Torrance County, New Mexico",164.3,37311,15485,27.6,43.3,2.81,49.1,11.2,2.98792117
"Charlevoix County, Michigan",167.7,47991,26238,12.6,46.7,2.39,56.1,7.8,4.386136675
"Lewis County, Tennessee",217.1,36255,11854,20.3,43.5,2.49,57.3,7.7,4.558176729
"Baldwin County, Alabama",174.3,49626,203709,13,42.2,2.6,53.8,7.5,5.381477705
"Ringgold County, Iowa",172.1,42854,5068,16.6,46.3,2.4,58.6,4.8,8.44017094
"Douglas County, Colorado",128.4,107250,322387,3.7,37.6,2.76,65.6,4.1,4.964771639
"Aransas County, Texas",194.6,44551,25350,17.5,49,2.46,55,6.8,8.072153326
"Macoupin County, Illinois",185.1,48544,46045,12.9,42.6,2.42,54.6,9.6,5.090116855
"Bleckley County, Georgia",162.6,40454,12243,23.2,37.3,2.71,41.1,4.8,3.671437461
"Ransom County, North Dakota",181.4,56270,5448,8.4,44.5,2.25,56.3,2,9.291187739
"Snohomish County, Washington",165.3,71890,772501,9.9,37.6,2.68,52.1,7.5,4.729251068
"Hickory County, Missouri",179.4,33707,9201,22.1,53.5,2.25,58.3,12.6,1.330671989
"Menard County, Illinois",199.6,61388,12444,10.1,42.5,2.42,58.8,5.7,5.225019069
"Bent County, Colorado",176.2,35424,5830,32.3,41.1,2.19,42.6,8.3,12.47920133
"Iron County, Wisconsin",195.8,39408,5794,15.6,52.4,1.99,58.1,7,4.091341579
"Chesapeake city, Virginia",182.2,66625,235429,9.8,36.5,2.75,52.5,7.5,5.746827092
"Hays County, Texas",149.5,59569,194739,17.5,30.9,2.78,45.8,6.7,4.207066557
"Lynn County, Texas",154.4,41589,5724,18.3,37.4,2.62,54.7,10.9,3.301127214
"Madison County, North Carolina",143.7,38445,21139,19.9,44,2.36,54.3,7.3,4.341957255
"Henry County, Georgia",175.9,60388,217739,13.7,36.3,3,50.6,10.3,3.860213737
"Orange County, Vermont",175.5,53025,28899,12.8,45,2.32,54.4,4.5,4.652301665
"Nye County, Nevada",213.5,42881,42477,16.8,50.8,0.0242,54.4,13.4,6.302577113
"Dallam County, Texas",177.9,43523,7121,12.4,30.7,3.09,46.4,5.6,9.422492401
"Lehigh County, Pennsylvania",168.4,58283,360685,12.8,39.5,2.6,48.3,8.5,5.408652416
"Trumbull County, Ohio",187,43160,203751,17.2,43.6,2.33,48.8,7.4,4.660949114
"Jasper County, Indiana",204.7,55190,33470,10.3,38.8,2.71,56.3,6.3,6.211096076
"Clarendon County, South Carolina",194.1,32268,33775,27,42.8,2.47,42.9,16.2,6.157946416
"Daviess County, Indiana",176.6,47670,32906,13.8,35,2.78,59.3,5.4,6.25359402
"Richland County, Wisconsin",168.7,44026,17495,13.5,44.1,2.29,59,4.8,7.105568445
"Beadle County, South Dakota",161.7,49583,18372,15.1,39,2.31,55.7,2.9,6.529752501
"Jefferson County, Kansas",173,56927,18930,9.4,43.5,2.47,61.7,6.9,5.155718398
"Jefferson County, New York",177,49781,117635,15.1,31.8,2.54,53.5,10.6,7.816390603
"Trinity County, Texas",190.7,36645,14402,19.9,47.7,2.69,49.1,9.9,2.844950213
"Poinsett County, Arkansas",247.1,35851,24040,21.9,40.2,2.57,47.9,10,7.948482061
"Seminole County, Georgia",180.1,37672,8647,26.4,45.1,2.62,46.9,9.4,2.387267905
"Columbia County, Georgia",156.9,68067,144052,9.5,36.6,2.98,57,7.1,5.223686116
"Ashtabula County, Ohio",203.2,39757,98632,21.5,41.8,2.48,48.2,8.9,6.447299298
"Sargent County, North Dakota",188.2,58467,3876,7.3,45.3,2.22,60.9,1.2,6.284916201
"Warren County, Georgia",194.6,31623,5460,28.9,44.3,2.58,39.3,16.4,7.881355932
"Ripley County, Indiana",201.4,52491,28701,10.7,40.4,2.58,57.3,7.4,5.038143675
"Chelan County, Washington",154.7,49174,75644,14,39.3,2.7,52.3,7.5,4.217134885
"Otero County, New Mexico",161.1,41736,64362,20.2,35.6,2.63,49.1,12.7,8.221797323
"East Feliciana Parish, Louisiana",212.2,41651,19696,20.4,41.8,2.43,42.5,6.5,4.203655352
"Saginaw County, Michigan",175.3,44548,193307,17.4,40.3,2.44,45.5,11.1,5.433100881
"Staunton city, Virginia",176.1,42552,24416,16.5,42.3,2.21,43.6,5.6,3.909798832
"Tensas Parish, Louisiana",142.5,27522,4740,32,43,0.0248,33.8,15.6,2.925809822
"Valley County, Nebraska",156.3,44726,4154,12.3,46,2.21,64.2,1.4,5.01285347
"Lamar County, Georgia",204.1,40339,18201,21.3,38.6,2.62,45.3,15.6,4.34410443
"Washakie County, Wyoming",182.3,50802,8328,12.6,43.4,2.34,56,6.8,5.37037037
"Hardin County, Iowa",169.8,53277,17367,11.7,44.7,2.37,55.2,4.9,4.732327714
"Anderson County, Kansas",174.8,45368,7808,14.3,41.7,2.37,59.5,5.9,8.419023136
"Starr County, Texas",136.5,26699,63795,35.4,29.1,3.84,47.3,13.8,5.949245101
"Bourbon County, Kentucky",176.5,42812,20116,19.2,41.1,2.51,49.1,9.9,4.047026905
"Crowley County, Colorado",110.7,32570,5562,40.5,35.5,3.78,30.9,27,10.31111111
"Beaver County, Oklahoma",181,56664,5427,10.5,41.5,2.7,62.2,3,2.923473775
"Gilchrist County, Florida",209.2,40788,17199,19.8,42,2.54,47.3,10.4,6.283213504
"Washtenaw County, Michigan",157,62861,358880,14.3,33.4,2.43,44.3,7.4,4.120270702
"Rappahannock County, Virginia",149.6,62800,7378,9.3,49.1,2.26,63.9,2.9,5.182481752
"Dolores County, Colorado",122.2,44235,1978,15.4,39.9,2.64,52.7,4.6,2.105263158
"Brown County, Texas",188.4,41316,37896,17.5,41,2.71,52.5,4.3,2.5472273
"Furnas County, Nebraska",145.5,44461,4862,12.7,46.8,2.11,60.2,3.4,5.315614618
"Cumberland County, Maine",173.3,61436,289977,10.8,41.9,2.37,49.4,5.4,3.772833827
"Johnson County, Tennessee",211.3,31330,17830,26.4,44.5,2.29,53.3,9,5.253623188
"Logan County, Kentucky",206.8,41150,26910,16.9,40.5,2.44,52.2,7.7,4.897396103
"Baylor County, Texas",212.3,36027,3618,18.3,48.5,2.06,56.5,1.4,6.068601583
"St. Charles Parish, Louisiana",190.3,60751,52812,12.1,37.2,2.83,48.7,7.7,6.11124004
"Mingo County, West Virginia",240.8,29839,25292,28.1,41.7,2.38,55.6,14.1,2.796024928
"Owen County, Kentucky",159.8,43626,10730,17.4,41.7,2.59,54.5,8.6,5.220713073
"Pittsburg County, Oklahoma",195.8,39900,44610,21.7,40.7,2.36,52.6,6.2,5.344522968
"Buchanan County, Virginia",175.8,32083,22776,23.2,45.5,2.37,51.6,10.6,6.462372316
"Menominee County, Wisconsin",228.8,36774,4573,29.1,31.6,3.48,37.2,14.8,10.89005236
"Hickman County, Tennessee",213.5,37443,24363,20.2,40.7,2.6,49.1,8.6,6.558627264
"Macon County, North Carolina",161.4,37884,34201,18.1,49,2.16,58.1,7.3,5.212083268
"Navajo County, Arizona",146.8,35457,108277,28.5,35.7,3.08,45,19.8,7.96636424
"Suwannee County, Florida",198.7,38177,43760,23.7,41.6,2.69,47.7,11.1,3.38904364
"Caledonia County, Vermont",184.3,45029,30780,13.9,43.1,2.43,49.5,7.2,3.307540586
"Hidalgo County, New Mexico",166.3,34304,4423,24.5,41.8,2.47,46.1,12.2,5.485232068
"Green County, Kentucky",195.3,33640,11010,21.5,44.2,2.46,55.3,9,5.095541401
"Henderson County, Texas",190,40921,79545,20.2,43.4,2.61,54.7,7.8,5.769695505
"Loudoun County, Virginia",136.5,122641,375629,3.9,35.3,3.08,61.2,4,6.198748382
"Patrick County, Virginia",178.3,34885,18045,21.9,48,2.31,53.5,8.3,2.944539737
"Real County, Texas",166.8,37294,3307,18.7,54.1,2.65,55,12,11.23809524
"Athens County, Ohio",192.1,34216,65886,29.9,28,2.47,35.1,10.9,2.52476505
"Tulare County, California",155.2,42360,459863,28.1,30.3,3.36,47.5,12,6.825864335
"Greene County, Virginia",156.5,61762,19162,9.6,481.2,2.64,59.8,7.4,3.450671607
"Carver County, Minnesota",148.8,88500,98741,4.8,36.9,2.76,62.3,3.8,5.473379087
"Berkeley County, West Virginia",206.1,56737,111901,13.2,38.4,0.0263,51.8,9.7,4.872468117
"Van Zandt County, Texas",182.9,43377,53547,15.9,43.5,2.79,52.5,6.1,6.531059017
"Marion County, Ohio",202,42240,65355,21.3,40.4,2.43,48.1,9.6,6.933232742
"Jackson County, North Carolina",177.2,38130,41265,23.5,36.8,2.33,45.1,6.2,3.120443278
"Crenshaw County, Alabama",195.6,34445,13963,21.2,41.3,2.56,47.7,9.7,8.330673476
"Ripley County, Missouri",236,30019,13802,25.1,41.6,2.57,55.1,10.1,7.130554599
"Traverse County, Minnesota",132.3,49536,3401,12.2,48.4,2.19,62.9,2.9,4.967948718
"Edgar County, Illinois",177,45485,17664,15.1,43.4,2.29,56.3,9.6,6.41025641
"Bristol County, Massachusetts",173.9,57732,556772,12.4,40.6,2.53,46.5,9,4.63936694
"Ottawa County, Oklahoma",229.7,35580,31981,22.1,38.5,2.58,50.9,9.4,5.394016013
"Clay County, Iowa",171.5,51514,16507,11.5,42.2,2.27,55.6,3.8,4.909253198
"Scotland County, North Carolina",189.6,32782,35509,28.9,39.1,2.59,38.9,15.5,6.79431748
"Frio County, Texas",155.7,34206,18793,26,31.5,3.14,41.1,5.2,8.13579163
"Williams County, Ohio",185.1,42214,37120,14.2,41.6,2.39,52,7.1,7.598197038
"Harrison County, Kentucky",196.4,41406,18763,18.5,41.9,2.57,48.8,8.1,3.484486874
"Latimer County, Oklahoma",191.7,35522,10483,20.7,39.3,2.5,54.8,7.8,7.799915218
"St. Johns County, Florida",149.9,66560,226640,8.2,42.7,2.62,55.4,6.7,3.253269113
"Lexington County, South Carolina",166.8,54098,281833,13.8,38.5,2.54,52,7.5,5.524669383
"Graham County, North Carolina",160.7,33824,8616,20.6,44.6,2.63,55.9,11.1,1.998889506
"Marion County, Florida",183.4,39860,343254,17.8,48.2,2.48,49.5,12,5.222619682
"Montgomery County, Alabama",189.8,43054,226519,22.5,35.2,2.47,39.5,8.8,5.64778925
"Brule County, South Dakota",174.9,47224,5281,14.8,40.8,2.47,58.1,2.6,7.258064516
"McHenry County, Illinois",181.4,76856,307343,6.9,39.3,2.79,58.2,8,4.286141792
"Golden Valley County, Montana",231,37316,827,20.1,53.1,2.29,58.8,3.5,1.481481481
"Queens County, New York",138.8,56866,2339150,15.4,37.7,2.91,45.3,8.6,4.84491139
"Ellis County, Kansas",146.4,49508,29029,13,32.2,2.35,45.1,4.5,3.977583379
"Hancock County, Illinois",170,48767,18543,11.6,46.2,2.35,58.8,6.8,5.844875346
"Linn County, Missouri",197.9,37597,12308,20,42.8,2.53,53.3,4.5,5.692675159
"Coos County, New Hampshire",181.6,42491,31212,14.9,48.1,2.13,51.5,6.9,5.975049245
"Hamilton County, Tennessee",172.9,48380,354098,15.9,39.3,0.0248,48,8,5.342350159
"Warren County, Ohio",160.4,72973,224469,5.8,38.7,2.73,60.3,6.1,4.708366736
"Otoe County, Nebraska",149.1,51527,15984,10,41.8,2.41,55.9,4.6,8.147459727
"Berks County, Pennsylvania",162.4,55936,415271,14.3,39.7,2.61,49.6,9,5.334555643
"Reagan County, Texas",133.1,62376,3792,11.2,35.9,2.93,63.1,2.2,3.469640644
"Hutchinson County, Texas",158.9,51508,21734,13.9,37.3,2.62,51.5,5.3,7.239057239
"Prince George County, Virginia",172.1,61792,37862,10.5,37.1,3.03,49.7,10.6,4.855936413
"Dawson County, Nebraska",139.7,47366,23886,13.7,36.2,2.71,56.6,4.8,8.05433327
"Woodson County, Kansas",293.9,35502,3115,18.4,47.4,2.08,53.6,4.6,6.818181818
"Martin County, Minnesota",162.5,52042,20022,12.2,45.4,2.26,54.9,3.5,7.700101317
"Ontario County, New York",162.9,58473,109561,11.5,43.1,2.38,50.8,6.4,5.349606951
"Fulton County, Indiana",208.3,44762,20315,13,41.7,2.55,55.2,6,6.736596737
"Teton County, Montana",164.9,46208,6104,13.9,44.8,2.5,58.3,5.1,8.581138488
"Howell County, Missouri",204.4,32662,40117,22.1,40.6,2.45,56.1,8.3,7.519053578
"Fleming County, Kentucky",191.3,35878,14637,19.3,40.4,2.57,56.2,9.7,7.140705032
"Cullman County, Alabama",187.9,39922,82005,17.2,40.5,2.55,57.6,7.3,3.913308575
"Valley County, Montana",129.5,46328,7659,12.4,45.5,2.26,60.5,2.6,5.681818182
"Avery County, North Carolina",152.8,37131,17689,19.8,43.7,2.22,53.3,6.9,6.046511628
"Bronx County, New York",162,33687,1455444,31.5,33.2,2.86,31,14,5.67890152
"Tulsa County, Oklahoma",183.9,50507,639242,14.8,35.3,2.5,48.5,6.5,5.964154695
"Powell County, Montana",161,40072,6840,20.2,45.4,2.25,43.3,2.2,6.109979633
"Williamson County, Illinois",207.4,46322,67466,15.8,41,2.43,53.6,7,5.84433073
"Kenton County, Kentucky",195.8,54728,165012,15.5,36.4,2.58,46.6,7.7,6.589773358
"Stokes County, North Carolina",184.5,45065,46351,13.8,44.7,2.43,56,9.3,4.962317706
"Sedgwick County, Kansas",171.5,51175,511574,14.7,34.6,2.59,49.8,6.9,6.454934329
"Lemhi County, Idaho",142.6,37869,7735,18.2,51.2,2.03,57.8,6.1,5.332359386
"Franklin County, Nebraska",119.2,44794,2985,13.6,49.9,2.15,64,3.5,8.058608059
"Marion County, Alabama",189.8,37707,30168,20.2,44.1,2.34,57.6,9.9,4.196551198
"Hartley County, Texas",116.7,64182,6193,10.5,39.3,2.61,55.2,2.1,10.43307087
"Fillmore County, Minnesota",152.7,52444,20834,11.6,43,2.4,59.1,4.3,5.655206776
"Mora County, New Mexico",134.3,27627,4596,24.2,42.6,2.81,41.2,5.4,1.084812623
"Lauderdale County, Alabama",194.4,41324,92596,18.7,41.1,2.35,52.4,7.1,5.10978957
"Hunterdon County, New Jersey",145.1,103876,125488,4.7,45,2.6,57.7,5.9,4.22223833
"Johnson County, Illinois",175.2,45773,12762,15.9,43.2,2.48,50.2,10.3,4.476930105
